,current_volume,growth_rate,trend
Mobile app development,62,8.7,📈
UI UX design course,3,-22.2,📉
Digital marketing course,35,-24.4,📉
Leadership training,44,-31.7,📉
Data Science course,5,-36.7,📉
Python tutorial,10,-37.3,📉
Project management course,13,-40.7,📉
Excel course,42,-43.9,📉
Web development tutorial,1,-46.7,📉
Prompt engineering course,8,-50.4,📉
ChatGPT course,5,-59.4,📉
Cloud computing course,2,-60.0,📉
DevOps tutorial,1,-60.0,📉
SQL tutorial,13,-63.0,📉
JavaScript course,6,-64.7,📉
Cybersecurity course,10,-66.1,📉
Blockchain course,3,-66.7,📉
AI course,29,-67.0,📉
React tutorial,12,-70.7,📉
Machine Learning tutorial,0,-77.3,📉
